Lower_Energy_bin(GeV),Upper_Energy_bin(GeV),Energy_bin_center(GeV),Muon_flux
0.10566000832495873,0.10566001062912891,0.10566000944189995,0.0
0.10566001062912891,0.10566001338127956,0.10566001188664563,0.0
0.10566001338127956,0.1056600168460325,0.1056600149644007,0.0
0.1056600168460325,0.10566002120789952,0.10566001883906298,0.0
0.10566002120789952,0.10566002669916343,0.10566002371697897,0.0
0.10566002669916343,0.10566003361225215,0.10566002985790272,0.0
0.10566003361225215,0.1056600423153186,0.10566003758887117,0.0
0.1056600423153186,0.10566005327180647,0.10566004732158699,0.0
0.10566005327180647,0.10566006706520645,0.10566005957429668,0.0
0.10566006706520645,0.10566008443014988,0.10566007499960219,0.0
0.10566008443014988,0.10566010629126539,0.10566009441901902,0.0
0.10566010629126539,0.1056601338126862,0.10566011886638314,0.0
0.1056601338126862,0.10566016846015909,0.10566014964385588,0.0
0.10566016846015909,0.10566021207876743,0.10566018839044575,0.0
0.10566021207876743,0.10566026699127336,0.10566023716951027,0.0
0.10566026699127336,0.10566033612202372,0.10566029857857098,0.0
0.10566033612202372,0.10566042315249827,0.1056603758881604,0.0
0.10566042315249827,0.1056605327171552,0.1056604732150178,0.0
0.1056605327171552,0.10566067065070843,0.10566059574197384,0.0
0.10566067065070843,0.10566084429850985,0.10566074999422771,0.0
0.10566084429850985,0.10566106290759797,0.10566094418581783,0.0
0.10566106290759797,0.10566133811956754,0.1056611886579431,0.0
0.10566133811956754,0.10566168458995527,0.10566149642957783,0.0
0.10566168458995527,0.10566212076888196,0.10566188388967152,0.0
0.10566212076888196,0.10566266988294763,0.1056623716715451,0.0
0.10566266988294763,0.105663361172289,0.10566298574850758,0.0
0.105663361172289,0.10566423144797718,0.10566375882092569,0.0
0.10566423144797718,0.10566532704770322,0.10566473205379362,0.0
0.10566532704770322,0.10566670630994568,0.1056659572634078,0.0
0.10566670630994568,0.10566844268105825,0.10566749969671671,0.0
0.10566844268105825,0.10567062859730673,0.10566944148428838,0.0
0.10567062859730673,0.105673380429867,0.10567188597645757,0.0
0.105673380429867,0.1056768446866184,0.10567496333664772,0.0
0.1056768446866184,0.10568120577004728,0.10567883738217716,0.0
0.10568120577004728,0.1056866957886238,0.10568371431642551,0.0
0.1056866957886238,0.1056936069112181,0.10568985368178441,0.0
0.1056936069112181,0.10570230686460552,0.10569758219909617,0.0
0.10570230686460552,0.10571325842723057,0.10570731101560234,0.0
0.10571325842723057,0.10572704401309822,0.10571955757986294,0.0
0.10572704401309822,0.10574439648224447,0.10573497308965082,0.0
0.10574439648224447,0.10576623788495701,0.10575437685434536,0.0
0.10576623788495701,0.10579372817779799,0.10577879967623184,0.0
0.10579372817779799,0.10582832625870565,0.10580953819844678,0.0
0.10582832625870565,0.1058718666019436,0.10584822299614825,0.0
0.1058718666019436,0.10592665518780861,0.1058969042303587,0.0
0.10592665518780861,0.1059955896373001,0.10595815838778778,0.0
0.1059955896373001,0.10608230931295175,0.10603522252853097,0.0
0.10608230931295175,0.10619138199405873,0.1061321610069257,0.0
0.10619138199405873,0.10632853727589421,0.10625407304773027,0.0
0.10632853727589421,0.10650095522580642,0.10640735320250429,0.0
0.10650095522580642,0.10671761998374038,0.10660000919392268,0.0
0.10671761998374038,0.10698976001253391,0.10684205249874648,0.0
0.10698976001253391,0.10733138353700201,0.10714599021981225,0.0
0.10733138353700201,0.10775992251810143,0.10752740415756534,0.0
0.10775992251810143,0.10829700952339924,0.10800566083119949,0.0
0.10829700952339924,0.10896939841216444,0.10860475462750055,0.0
0.10896939841216444,0.10981003255587818,0.10935430432072119,0.0
0.10981003255587818,0.11085926361943597,0.1102906877978753,0.0
0.11085926361943597,0.11216621226893997,0.11145833790343188,0.0
0.11216621226893997,0.11379022075473622,0.11291115545825577,0.0
0.11379022075473622,0.11580234554503462,0.1147139833895136,0.0
0.11580234554503462,0.11828680304996253,0.11694409644970712,0.0
0.11828680304996253,0.12134224108654373,0.11969257694968766,0.0
0.12134224108654373,0.1250827301347953,0.12306545715282131,0.0
0.1250827301347953,0.12963835669928095,0.12718454370471438,0.0
0.12963835669928095,0.13515538411728933,0.1321877773969757,0.0
0.13515538411728933,0.14179601728143504,0.13822922002061686,0.0
0.14179601728143504,0.14973789293565606,0.14547864310612743,0.0
